cpf_cliente,data_hora_solicitacao,limite_atual,novo_limite_solicitado,status_pedido
12345678901,2026-03-19T18:10:55.470080,5000.00,10000.00,rejeitado
56789012345,2026-03-19T23:53:49.568355,3000.00,6000.00,aprovado
34567890123,2026-03-19T23:59:06.721583,2000.00,15000.00,rejeitado
56789012345,2026-03-20T00:13:33.852235,6000.00,6000.00,aprovado
34567890123,2026-03-20T00:17:05.144034,2000.00,15000.00,rejeitado
34567890123,2026-03-20T00:46:24.673102,2000.00,15000.00,rejeitado
56789012345,2026-03-20T00:59:57.284061,6000.00,6000.00,aprovado
34567890123,2026-03-20T01:03:16.579349,2000.00,15000.00,rejeitado
23456789012,2026-03-20T18:07:03.990910,12000.00,30000.00,rejeitado
23456789012,2026-03-20T18:27:56.369478,12000.00,30000.00,rejeitado
23456789012,2026-03-20T19:09:54.366951,50000.00,90000.00,rejeitado
56789012345,2026-03-23T14:33:38.040407,6000.00,6000.00,aprovado
34567890123,2026-03-23T14:33:43.601901,2000.00,15000.00,rejeitado
56789012345,2026-03-23T14:42:20.048952,6000.00,6000.00,aprovado
34567890123,2026-03-23T14:42:26.924034,2000.00,15000.00,rejeitado
34567890123,2026-03-23T14:43:31.703266,8000.00,15000.00,rejeitado
56789012345,2026-03-23T15:17:26.883043,6000.00,6000.00,aprovado
34567890123,2026-03-23T15:17:36.347885,8000.00,15000.00,rejeitado
56789012345,2026-03-23T15:26:17.958672,6000.00,6000.00,aprovado
56789012345,2026-03-23T15:41:36.464251,6000.00,6000.00,aprovado
34567890123,2026-03-23T15:41:42.226093,8000.00,15000.00,rejeitado
34567890123,2026-03-23T15:42:17.941412,8000.00,15000.00,rejeitado
